home_team;capacity
manchester city;55017
manchester united;74879
chelsea;40853
arsenal;60704
liverpool;60725
tottenham hotspur;62850
everton;39571
west ham united;62500
newcastle united;52338
stoke city;30089
southampton;32384
leicester city;32273
west bromwich albion;26850
swansea city;21088
crystal palace;26047
aston villa;42682
sunderland;48707
burnley;21994
fulham;25700
watford;21577
afc bournemouth;11329
wolverhampton wanderers;32050
norwich city;27244
brighton and hove albion;31800
hull city;25586
queens park rangers;18360
wigan athletic;25138
bolton wanderers;28723
blackburn rovers;31367
sheffield united;32702
cardiff city;33280
huddersfield town;24500
birmingham city;29409
reading;24161
blackpool;16220
middlesbrough;33746
leeds united;37890
